recipe_tag	coefficient
cloves	-0.0014050752055135948
crust	-0.0014050752055135948
lattice	-0.0014050752055135948
pie	-0.006302508570817237
blueberry	-0.018162365132569094
refreshing	-0.008158476740433995
rhubarb	-0.008158476740433995
strawberry	-0.008158476740433995
tangy	0.01550154547519061
cobbler	-0.004416857058279174
southern	-0.003147619015303895
christmas	0.023660022215624604
sauce	-0.07150332222552122
tart	-0.07150332222552122
thanksgiving	0.023660022215624604
cherry	-0.006166671408278921
oats	-0.003634297781992284
vanillaicecream	-0.003634297781992284
whippedcream	-0.003634297781992284
braided	-0.0037746755320111694
easterneuropean	-0.0037746755320111694
twisted	-0.0037746755320111694
yeastdough	-0.0037746755320111694
hawaiian	0.039127348330852754
nori	0.039127348330852754
onthego	0.039127348330852754
rice	0.039127348330852754
sushi	0.039127348330852754
taco	0.03745368704644622
tortillabowl	0.03745368704644622
spicyfood	0.03022887549019772
stuffedpeppers	0.03022887549019772
citrus	0.09516334444114583
relish	0.09516334444114583
chinesecuisine	-0.0012760262611815967
stirfry	0.06001851195113731
cocoapowder	-0.0045565268512600746
spinach	0.02373756328435217
creamy	0.014363172381322033
custardy	-0.023813165797183847
gruyerecheese	0.012114403825848215
mushroom	-0.10573801507543196
pastrycrust	0.03592756962303206
coffee	-0.03428806944072166
croissant	-0.03428806944072166
tea	-0.03428806944072166
creamcheese	-0.005685574697410439
danish	-0.005685574697410439
hamandcheese	-0.005685574697410439
fetacheese	-0.07832238475637711
piecrust	-0.07832238475637711
chinese	0.06959303179145841
cold	0.06959303179145841
sesame	0.06959303179145841
peanutdressing	-0.04400104326101878
blackvinegar	-0.06129453821231891
peanuts	-0.06129453821231891
pork	-0.06129453821231891
eggwhites	-0.01958819997733305
vanilla	-0.01958819997733305
dates	-0.004397232520913406
american	-0.004897433365303643
berries	0.007822555258286295
egg	0.035513988433246886
sandwich	0.035513988433246886
toast	0.035513988433246886
broiling	-0.00531269110756732
grilling	-0.00531269110756732
shrimp	-0.00531269110756732
skewers	-0.00531269110756732
juicy	0.024260952287308575
keto	-0.06997390837286951
lowcarb	-0.06997390837286951
macandcheese	0.03817633817850588
salty	0.03817633817850588
alfredo	-0.03263355699790196
italiancuisine	-0.03263355699790196
lasagna	0.0023595897312501946
ricotta	0.11691799600740027
